TIME_S,ENGINE_RPM,CYLINDER_HEAD_TEMP,ENGINE_BLOCK_TEMP,EXHAUST_GAS_TEMP,OIL_TEMP,OIL_PRESSURE,OIL_LEVEL,FUEL_FLOW,FUEL_PRESSURE,INJECTION_TIMING,AFR_GUAGE,MANIFOLD_PRESSURE,CARB_AIR_INTAKE_PRESSURE,BAROMETRIC PRESSURE,FLYING_ALT,TEMPARATURE,HUMIDITY,FIRE,BATT_VOLT,BATT_AMP,PROP_RPM,PROPELLER_TORQUE,COOLANT_FLOW_RATE,COOLANT_TEMP,COOLANT_PRESSURE,COOLANT_LEVEL,ENGINE_RUNTIME,ENGINE_MOUNT_VIBRATION,ALTERNATOR_VOLT,ALTERNATOR_AMP,ALTERNATOR_TEMP,STARTER_MOTOR_AMP,TURBO_TARGET_BOOST_PRESSURE,TURBO_SHAFT_SPEED,EXHAUST_BACKPRESSURE,FUEL_LEVEL,FUEL_TEMP,G_FORCE,AIRSPEED,THROTTLE_POSITION
0.166667,1829.8,65.4,58.09,454.31,61.02,0.957,95.02,7.44,0.188,11.56,14.2,30.57,59.92,982.72,850.0,13.31,54.71,0,26.9,1.42,754.6,10.91,8.94,57.13,0.412,96.52,360.17,1.462,27.21,6.78,43.69,0.0,0.88,33203.0,11.77,82.0,18.45,1.008,40.0,7.68
0.183333,1822.3,65.45,58.56,457.2,61.3,0.9,95.01,7.28,0.186,11.75,14.15,30.53,59.64,982.72,850.0,13.29,55.11,0,26.92,1.28,749.1,10.5,8.95,57.07,0.406,96.52,360.18,1.299,27.21,6.73,42.98,0.0,0.89,33202.0,11.34,82.0,18.38,1.008,40.0,7.65
0.2,1825.1,65.68,58.27,458.75,61.32,0.902,95.03,7.26,0.18,11.77,14.19,30.63,58.89,982.69,850.0,13.29,55.06,0,26.93,1.36,751.7,10.47,9.28,56.96,0.398,96.49,360.2,1.104,27.22,7.0,43.8,0.0,0.87,32991.0,11.26,82.0,18.13,1.008,40.0,7.62
0.216667,1821.5,65.92,58.27,457.44,61.09,0.92,95.04,7.22,0.18,11.78,14.15,30.81,59.48,982.63,850.0,13.28,55.2,0,26.91,1.5,749.3,10.68,8.98,56.63,0.392,96.49,360.22,1.258,27.18,7.08,44.19,0.0,0.86,32766.0,11.19,82.0,18.01,1.013,40.0,7.58
0.233333,1802.9,66.01,58.33,459.9,61.15,0.932,95.02,7.12,0.179,11.81,14.23,30.87,59.17,982.56,850.0,13.28,54.9,0,26.92,1.51,739.6,10.29,9.21,56.73,0.387,96.49,360.23,1.201,27.2,7.14,44.04,0.0,0.89,32579.0,11.57,82.0,18.13,1.013,40.0,7.52
0.25,1816.6,66.02,58.18,459.53,61.18,0.989,95.02,7.08,0.185,11.83,14.24,30.85,59.09,982.56,850.0,13.31,55.1,0,26.94,1.51,743.2,10.0,9.16,56.77,0.391,96.55,360.25,1.281,27.2,7.08,44.33,0.0,0.89,32721.0,12.02,82.0,18.08,1.013,40.0,7.53
0.266667,1816.9,65.91,58.04,457.42,60.9,0.976,95.02,6.93,0.18,12.11,14.27,30.82,59.26,982.59,850.0,13.33,55.27,0,26.94,1.38,742.3,10.14,9.25,56.74,0.391,96.53,360.27,1.221,27.21,6.65,43.87,0.0,0.89,32914.0,12.05,82.0,18.22,1.005,40.0,7.55
0.283333,1818.0,65.82,58.31,456.37,60.83,0.926,95.03,7.02,0.179,12.14,14.37,30.84,59.12,982.49,850.0,13.4,55.48,0,26.95,1.28,744.0,10.44,8.92,56.8,0.391,96.56,360.28,1.047,27.23,6.45,44.2,0.0,0.85,32922.0,12.14,82.0,18.45,0.997,40.0,7.63
0.3,1816.4,65.45,58.37,452.64,60.8,0.915,95.03,7.01,0.181,12.03,14.46,30.88,59.38,982.49,850.0,13.44,55.28,0,26.96,1.52,744.4,10.34,8.55,56.81,0.394,96.55,360.3,1.111,27.25,6.42,44.76,0.0,0.85,33241.0,12.4,82.0,18.46,0.989,40.0,7.76
0.316667,1807.5,65.04,58.67,448.12,60.8,0.906,95.02,6.9,0.18,11.8,14.51,31.05,59.45,982.39,850.0,13.45,55.51,0,26.99,1.36,740.4,10.43,8.4,56.96,0.4,96.59,360.32,1.195,27.27,6.68,44.84,0.0,0.86,33153.0,12.38,82.0,18.58,0.98,40.0,7.85
0.333333,1811.7,65.21,58.49,450.87,60.39,0.928,95.0,6.96,0.181,11.92,14.51,31.01,59.68,982.55,850.0,13.45,55.16,0,27.02,1.1,741.9,10.5,8.3,57.01,0.402,96.6,360.33,1.359,27.27,6.75,45.15,0.0,0.88,32513.0,11.75,82.0,18.78,0.982,40.0,7.92
0.35,1821.5,65.1,58.81,451.46,60.65,0.894,95.0,7.1,0.18,11.86,14.18,30.85,59.61,982.66,850.0,13.48,55.37,0,27.01,1.34,747.1,11.06,8.41,56.97,0.398,96.6,360.35,1.152,27.27,6.75,44.75,0.0,0.84,32658.0,11.74,82.0,18.51,0.985,40.0,7.94
0.366667,1836.3,64.86,58.95,450.94,60.65,0.916,94.98,7.02,0.181,11.64,14.28,30.84,59.34,982.61,850.0,13.49,55.55,0,27.02,1.29,753.9,10.64,8.48,56.89,0.422,96.59,360.37,1.157,27.28,6.92,45.14,0.0,0.84,32958.0,11.87,82.0,18.29,0.983,40.0,8.01
0.383333,1831.8,65.36,58.65,447.88,60.64,0.899,94.99,7.04,0.181,11.51,14.22,30.8,59.18,982.62,850.0,13.5,55.91,0,27.01,1.54,751.5,10.77,8.2,56.77,0.437,96.59,360.38,1.138,27.27,6.62,44.79,0.0,0.86,32729.0,11.17,82.0,18.41,0.987,40.0,8.09
0.4,1822.6,64.73,58.82,453.71,60.41,0.837,95.0,6.94,0.18,11.49,14.34,30.96,59.58,982.64,850.0,13.52,55.72,0,26.96,1.58,749.2,10.93,8.34,56.67,0.441,96.63,360.4,0.9,27.24,6.87,44.51,0.0,0.87,32252.0,10.98,82.0,18.62,0.99,40.0,8.17
0.416667,1833.8,64.55,58.88,454.85,60.12,0.825,94.99,7.14,0.179,11.47,14.33,30.87,59.74,982.55,850.0,13.53,56.13,0,26.93,1.42,754.5,11.48,8.33,56.8,0.431,96.59,360.42,0.874,27.22,6.92,44.96,0.0,0.85,32629.0,11.26,82.0,18.57,0.991,40.0,8.19
0.433333,1827.7,64.42,58.94,453.18,60.2,0.827,95.0,7.03,0.18,11.44,14.38,30.9,59.58,982.66,850.0,13.51,55.68,0,26.88,1.47,750.8,12.14,8.6,56.7,0.419,96.61,360.43,0.94,27.19,6.49,44.71,0.0,0.85,33301.0,11.16,82.0,18.43,0.985,40.0,8.17
0.45,1823.8,64.65,59.21,454.89,60.22,0.849,94.99,7.15,0.18,11.4,14.32,30.85,59.16,982.7,850.0,13.53,55.96,0,26.92,1.5,749.6,11.69,8.74,56.85,0.419,96.61,360.45,1.136,27.22,6.33,44.55,0.0,0.86,32844.0,11.19,82.0,18.15,0.993,40.0,8.11
0.466667,1823.6,64.82,59.01,451.21,59.89,0.841,95.03,7.04,0.182,11.39,14.27,30.72,59.05,982.6,850.0,13.52,56.21,0,26.95,1.56,749.1,11.95,9.03,56.85,0.433,96.61,360.47,1.099,27.23,6.31,44.74,0.0,0.84,32941.0,11.85,82.0,18.15,1.0,40.0,8.06
0.483333,1829.1,64.26,58.81,454.44,60.11,0.853,95.04,7.17,0.182,11.16,14.33,30.77,58.98,982.56,850.0,13.5,56.28,0,26.94,1.47,751.1,11.54,9.19,57.08,0.441,96.61,360.48,0.72,27.24,6.94,44.22,0.0,0.84,33025.0,11.73,82.0,18.22,0.997,40.0,7.97
0.5,1814.8,64.5,58.74,455.82,59.7,0.831,95.01,7.15,0.182,11.12,14.36,30.6,58.68,982.55,850.0,13.52,56.75,0,26.92,1.67,746.2,11.27,8.98,57.02,0.443,96.61,360.5,0.519,27.23,6.43,43.54,0.0,0.83,32610.0,11.39,81.999,18.07,1.006,40.0,7.9
0.516667,1818.3,64.66,59.1,455.01,59.68,0.837,95.05,7.09,0.18,11.44,14.22,30.68,58.73,982.48,850.0,13.49,56.93,0,26.92,1.63,749.8,11.43,8.9,56.77,0.437,96.64,360.52,0.4,27.22,6.75,43.24,0.0,0.89,32569.0,11.16,81.999,18.06,1.006,40.0,7.83
0.533333,1818.2,64.64,59.31,460.07,59.84,0.826,95.08,7.14,0.177,11.27,14.27,30.66,59.21,982.4,850.0,13.45,56.35,0,26.91,1.98,748.0,11.64,8.91,56.9,0.428,96.62,360.53,0.424,27.22,6.72,43.32,0.0,0.86,32160.0,11.63,81.999,18.23,1.002,40.0,7.72
0.55,1813.8,64.65,59.31,460.65,59.7,0.814,95.07,7.02,0.178,11.49,14.3,30.73,59.18,982.33,850.0,13.51,56.59,0,26.86,1.84,747.1,11.78,8.9,56.71,0.42,96.65,360.55,0.878,27.19,6.48,43.65,0.0,0.86,32344.0,11.8,81.999,18.42,1.0,40.0,7.62
0.566667,1830.2,64.32,59.52,457.87,59.72,0.819,95.07,7.12,0.182,11.46,14.4,30.57,59.37,982.21,850.0,13.53,56.84,0,26.86,1.68,753.4,11.86,8.96,56.76,0.429,96.65,360.57,0.642,27.19,6.91,43.31,0.0,0.86,32369.0,11.9,81.999,18.57,0.992,40.0,7.49
0.583333,1808.1,64.67,59.39,450.67,59.68,0.819,95.09,7.05,0.177,11.64,14.41,30.5,59.44,982.31,850.0,13.53,56.9,0,26.86,1.64,743.7,11.83,9.27,56.96,0.426,96.65,360.58,0.505,27.19,6.75,43.75,0.0,0.86,32414.0,11.64,81.999,18.3,0.991,40.0,7.4
0.6,1808.6,64.9,59.28,455.05,59.87,0.877,95.06,6.88,0.172,11.53,14.45,30.59,59.34,982.32,850.0,13.54,56.92,0,26.86,1.8,744.0,11.37,9.16,57.05,0.438,96.64,360.6,0.4,27.18,7.3,44.03,0.0,0.86,32655.0,11.55,81.999,18.54,0.985,40.0,7.34
0.616667,1810.4,64.8,59.13,461.5,59.71,0.95,95.09,6.72,0.173,11.36,14.38,30.6,59.31,982.18,850.0,13.54,56.78,0,26.86,1.71,745.8,10.85,9.51,57.02,0.431,96.62,360.62,0.72,27.2,7.14,44.1,0.0,0.88,32329.0,11.41,81.999,18.67,0.991,40.0,7.36
0.633333,1811.0,64.64,58.83,460.84,59.8,0.893,95.08,6.87,0.176,11.0,14.34,30.58,59.25,982.11,850.0,13.52,56.99,0,26.9,1.6,746.3,10.85,9.26,57.45,0.436,96.6,360.63,0.449,27.25,7.07,43.97,0.0,0.9,32315.0,11.71,81.999,18.53,0.994,40.0,7.38
0.65,1823.3,64.3,58.88,457.04,59.75,0.913,95.06,6.96,0.173,11.09,14.41,30.59,59.75,982.12,850.0,13.5,57.06,0,26.88,1.45,751.9,10.73,9.51,57.33,0.45,96.59,360.65,0.481,27.23,7.39,43.76,0.0,0.88,32331.0,12.0,81.999,18.88,0.988,40.0,7.46
0.666667,1796.5,64.75,58.8,454.27,59.66,0.926,95.06,6.89,0.172,11.01,14.45,30.63,59.38,982.15,850.0,13.46,56.83,0,26.9,1.8,739.8,10.81,9.79,57.51,0.446,96.61,360.67,0.436,27.22,7.52,43.84,0.0,0.85,32673.0,11.89,81.999,18.67,0.992,40.0,7.5
0.683333,1797.1,64.74,58.64,447.86,59.79,0.895,95.06,6.96,0.174,11.16,14.33,30.51,59.41,982.24,850.0,13.48,56.93,0,26.92,1.43,741.6,10.37,9.93,57.81,0.445,96.61,360.68,0.4,27.22,7.73,43.78,0.0,0.84,32069.0,11.66,81.999,18.46,0.985,40.0,7.57
0.7,1792.6,64.65,58.62,450.67,59.99,0.946,95.07,7.03,0.176,11.2,14.2,30.47,59.32,982.26,850.0,13.52,56.98,0,26.94,1.37,739.6,10.03,9.72,57.79,0.44,96.61,360.7,0.4,27.25,7.36,44.13,0.0,0.82,31835.0,11.14,81.999,18.78,0.988,40.0,7.67
0.716667,1785.2,64.16,58.91,450.33,59.93,0.964,95.09,6.93,0.175,11.38,14.36,30.51,58.93,982.38,850.0,13.56,56.61,0,26.94,1.12,738.5,10.38,10.12,57.33,0.429,96.56,360.72,0.443,27.27,7.46,44.21,0.0,0.83,31498.0,11.04,81.999,19.3,0.991,40.0,7.75
0.733333,1788.9,63.7,58.8,452.64,60.31,0.938,95.09,6.87,0.175,11.57,14.56,30.5,58.84,982.45,850.0,13.57,56.54,0,26.97,1.25,739.5,11.32,10.03,57.01,0.422,96.56,360.73,0.44,27.27,6.99,44.41,0.0,0.86,31313.0,10.97,81.999,18.96,0.992,40.0,7.86
0.75,1801.4,63.18,58.58,455.9,60.24,0.945,95.1,6.66,0.178,11.73,14.59,30.51,59.5,982.48,850.0,13.61,56.39,0,26.98,1.22,743.4,11.35,9.52,57.06,0.422,96.58,360.75,0.434,27.29,7.01,44.31,0.0,0.85,31562.0,11.04,81.999,19.04,0.988,40.0,7.97
0.766667,1803.1,63.45,58.72,454.42,60.24,0.939,95.12,6.62,0.177,11.48,14.62,30.55,59.63,982.46,850.0,13.62,56.29,0,26.96,1.21,744.1,10.44,9.4,56.98,0.413,96.59,360.77,0.775,27.27,6.94,44.15,0.0,0.86,31748.0,11.02,81.999,19.16,0.989,40.0,8.05
0.783333,1825.8,63.92,58.62,455.07,60.25,0.96,95.1,6.73,0.179,11.51,14.64,30.74,59.86,982.64,850.0,13.65,56.41,0,26.94,1.11,752.6,10.94,9.43,57.52,0.41,96.59,360.78,0.4,27.25,6.98,44.31,0.0,0.85,31601.0,11.35,81.999,19.25,0.989,40.0,8.11
0.8,1807.1,63.89,58.66,455.72,60.26,0.995,95.08,6.71,0.181,11.63,14.56,30.76,59.3,982.68,850.0,13.7,55.81,0,26.95,0.82,746.1,10.31,9.23,57.73,0.408,96.6,360.8,0.449,27.25,7.07,44.54,0.0,0.84,31748.0,11.63,81.999,19.06,0.99,40.0,8.1
0.816667,1813.9,64.45,58.6,457.1,60.51,1.001,95.08,6.78,0.18,11.81,14.47,30.84,59.51,982.68,850.0,13.69,56.2,0,26.91,1.13,749.9,10.71,9.15,57.56,0.401,96.61,360.82,0.426,27.22,7.26,44.48,0.0,0.85,31532.0,11.76,81.999,19.22,0.998,40.0,8.09
0.833333,1818.1,64.12,58.71,457.04,60.26,0.998,95.08,6.79,0.181,11.7,14.41,30.93,59.42,982.7,850.0,13.69,56.2,0,26.9,1.17,750.4,11.19,9.25,57.66,0.411,96.6,360.83,0.4,27.21,6.64,44.1,0.0,0.89,31581.0,11.81,81.999,18.79,1.006,40.0,8.09
0.85,1819.2,63.78,58.38,452.43,60.47,0.996,95.08,6.93,0.185,11.61,14.41,30.69,59.27,982.73,850.0,13.69,56.27,0,26.91,0.89,750.0,11.14,9.06,57.73,0.399,96.58,360.85,0.586,27.2,6.37,44.08,0.0,0.85,31226.0,11.45,81.999,18.67,1.012,40.0,8.06
0.866667,1824.8,63.34,58.02,455.38,60.25,1.007,95.1,6.91,0.185,11.45,14.37,30.63,59.58,982.79,850.0,13.67,55.85,0,26.89,1.24,753.4,11.48,8.73,57.53,0.399,96.59,360.87,0.757,27.2,6.84,43.79,0.0,0.88,31287.0,11.42,81.999,18.87,1.008,40.0,8.01
0.883333,1819.9,63.19,57.84,449.42,60.5,0.994,95.11,6.91,0.185,11.23,14.14,30.64,59.31,982.8,850.0,13.68,55.81,0,26.9,1.31,751.5,11.3,9.24,57.45,0.388,96.57,360.88,0.928,27.22,7.25,44.3,0.0,0.86,31621.0,11.25,81.999,19.1,1.004,40.0,7.98
0.9,1824.1,63.34,58.09,452.68,60.29,0.971,95.1,6.94,0.188,11.25,14.17,30.72,59.22,982.66,850.0,13.71,55.63,0,26.88,1.51,754.7,11.97,9.09,57.75,0.378,96.57,360.9,0.4,27.21,7.65,44.32,0.0,0.85,31916.0,11.24,81.999,19.13,1.004,40.0,7.94
0.916667,1819.6,63.53,58.06,454.11,60.19,0.979,95.11,6.71,0.18,11.27,14.29,30.94,59.37,982.69,850.0,13.76,55.9,0,26.85,1.44,750.2,12.03,9.51,57.68,0.383,96.56,360.92,0.4,27.18,7.31,44.05,0.0,0.87,31915.0,11.55,81.999,19.02,1.005,40.0,7.92
0.933333,1814.6,63.78,57.89,451.77,60.33,0.979,95.14,6.75,0.179,11.0,14.39,30.85,59.52,982.58,850.0,13.74,56.05,0,26.86,1.19,747.2,11.99,9.34,57.47,0.389,96.57,360.93,0.4,27.18,7.46,44.05,0.0,0.87,32114.0,11.82,81.999,18.56,0.996,40.0,7.92
0.95,1807.4,64.69,57.45,452.46,60.14,1.032,95.15,6.67,0.178,11.33,14.27,30.77,59.46,982.63,850.0,13.74,55.96,0,26.88,1.06,744.5,12.46,9.13,57.12,0.392,96.58,360.95,0.4,27.19,7.58,44.22,0.0,0.86,31954.0,11.24,81.999,18.64,0.993,40.0,7.88
0.966667,1807.8,64.5,57.37,455.87,60.25,1.021,95.16,6.64,0.176,11.25,14.2,30.8,59.68,982.71,850.0,13.8,55.74,0,26.87,1.26,744.4,12.51,9.13,57.23,0.393,96.53,360.97,0.4,27.18,7.66,43.8,0.0,0.84,31932.0,11.06,81.999,18.82,1.002,40.0,7.88
0.983333,1819.0,64.7,57.54,458.65,59.87,1.044,95.18,6.67,0.179,11.17,14.24,30.85,59.04,982.74,850.0,13.79,55.86,0,26.89,1.24,747.8,12.06,9.33,57.74,0.418,96.54,360.98,0.4,27.2,6.98,44.2,0.0,0.83,32190.0,10.7,81.999,18.68,0.996,40.0,7.9
1.0,1814.2,64.94,57.89,458.9,59.76,1.047,95.14,6.76,0.181,11.29,14.08,30.89,59.11,982.75,850.0,13.78,55.73,0,26.88,1.14,746.1,12.41,9.62,58.2,0.425,96.52,361.0,0.4,27.2,6.49,44.0,0.0,0.84,32275.0,11.31,81.999,18.85,0.994,40.0,7.89
1.016667,1822.7,64.93,57.93,452.66,59.79,1.01,95.14,6.8,0.182,11.37,14.13,30.9,59.19,982.7,850.0,13.85,55.49,0,26.88,0.88,749.1,12.21,9.28,57.97,0.423,96.52,361.02,0.4,27.2,6.42,44.27,0.0,0.86,31855.0,11.81,81.999,18.38,0.991,40.0,7.86
1.033333,1819.1,64.58,57.99,455.85,59.88,1.032,95.16,6.67,0.181,11.5,14.01,30.73,59.07,982.62,850.0,13.84,55.89,0,26.85,0.91,749.4,11.8,9.45,57.67,0.42,96.52,361.03,0.4,27.18,6.39,44.12,0.0,0.85,31873.0,11.89,81.999,18.39,0.994,40.0,7.85
1.05,1818.5,65.14,58.33,456.68,60.18,1.049,95.13,6.53,0.182,11.71,14.14,30.62,59.0,982.48,850.0,13.87,55.98,0,26.85,0.92,749.4,12.35,8.97,57.75,0.424,96.54,361.05,0.4,27.18,6.11,43.29,0.0,0.85,32105.0,12.1,81.999,18.38,0.994,40.0,7.81
1.066667,1830.1,64.73,58.21,455.64,60.24,1.01,95.14,6.69,0.181,11.49,14.11,30.63,58.85,982.53,850.0,13.86,56.38,0,26.84,0.87,755.9,11.24,8.83,57.95,0.43,96.56,361.07,0.4,27.16,6.72,43.23,0.0,0.85,32341.0,12.23,81.999,18.19,0.994,40.0,7.77
1.083333,1813.6,65.03,58.09,452.18,60.45,1.031,95.13,6.59,0.177,11.53,14.12,30.83,58.68,982.61,850.0,13.82,56.47,0,26.86,0.99,749.1,11.14,8.59,57.81,0.421,96.57,361.08,0.4,27.17,6.56,44.06,0.0,0.86,32533.0,11.83,81.999,18.2,0.988,40.0,7.73
1.1,1813.7,65.08,58.18,451.99,60.21,1.05,95.12,6.84,0.178,11.49,14.33,30.78,58.66,982.56,850.0,13.84,56.55,0,26.87,1.12,751.3,11.02,8.75,57.37,0.413,96.53,361.1,0.4,27.2,6.46,43.87,0.0,0.87,32290.0,11.8,81.999,18.02,0.992,40.0,7.73
1.116667,1823.0,64.48,58.47,453.5,59.9,0.992,95.14,6.89,0.184,11.49,14.45,30.48,59.02,982.62,850.0,13.79,56.6,0,26.9,1.29,754.3,10.81,8.94,57.67,0.403,96.51,361.12,0.4,27.2,6.19,43.86,0.0,0.81,32140.0,11.33,81.999,17.74,0.992,40.0,7.75
1.133333,1825.4,64.43,58.88,449.46,60.15,1.051,95.11,6.95,0.18,11.26,14.49,30.48,59.39,982.67,850.0,13.75,56.55,0,26.9,1.32,755.1,10.0,8.7,57.41,0.407,96.53,361.13,0.4,27.2,6.04,43.96,0.0,0.8,32054.0,11.58,81.999,18.05,0.99,40.0,7.78
1.15,1825.2,64.27,59.0,452.87,59.89,1.039,95.07,6.82,0.181,11.21,14.2,30.62,59.34,982.67,850.0,13.79,56.44,0,26.93,1.61,753.2,10.51,8.95,57.31,0.414,96.55,361.15,0.4,27.21,6.31,43.75,0.0,0.84,31653.0,12.02,81.999,17.96,0.991,40.0,7.81
1.166667,1834.8,64.41,58.75,443.77,59.79,1.093,95.08,6.7,0.182,11.08,14.17,30.72,59.2,982.53,850.0,13.81,56.88,0,26.92,1.4,757.3,10.86,8.94,57.25,0.422,96.58,361.17,0.4,27.21,6.72,43.07,0.0,0.89,31339.0,12.23,81.999,17.95,0.996,40.0,7.86
1.183333,1823.5,63.91,58.64,449.6,59.98,1.089,95.09,6.81,0.179,10.93,14.24,30.58,59.1,982.58,850.0,13.8,56.7,0,26.92,1.4,752.4,10.48,9.28,57.13,0.421,96.58,361.18,0.4,27.21,6.14,43.06,0.0,0.87,31612.0,11.9,81.999,17.76,0.99,40.0,7.9
1.2,1822.4,63.62,58.53,450.93,59.78,1.06,95.1,6.82,0.18,10.92,14.36,30.61,59.23,982.57,850.0,13.83,56.69,0,26.9,1.05,753.8,10.3,9.3,56.69,0.419,96.54,361.2,0.4,27.2,5.53,43.05,0.0,0.92,31543.0,12.04,81.999,17.96,0.984,40.0,7.96
1.216667,1837.8,64.49,58.4,449.31,59.75,1.047,95.13,6.83,0.184,10.9,14.42,30.66,58.96,982.72,850.0,13.87,56.93,0,26.91,1.03,758.7,11.13,9.36,56.91,0.423,96.49,361.22,0.4,27.21,5.96,43.2,0.0,0.92,31364.0,12.06,81.999,18.28,0.981,40.0,8.07
1.233333,1820.2,64.42,58.3,453.47,59.82,1.05,95.14,6.9,0.183,10.82,14.19,30.64,58.96,982.75,850.0,13.88,57.39,0,26.94,1.38,753.2,11.97,8.88,57.06,0.416,96.47,361.23,0.4,27.22,5.35,43.34,0.0,0.88,31711.0,11.82,81.999,18.09,0.979,40.0,8.12
1.25,1826.1,64.92,58.18,451.16,60.15,1.048,95.15,6.71,0.183,11.15,14.08,30.68,58.85,982.7,850.0,13.85,57.87,0,26.95,1.34,755.3,12.21,8.73,56.73,0.418,96.46,361.25,0.4,27.21,5.8,43.78,0.0,0.88,31696.0,12.02,81.999,17.75,0.968,40.0,8.14
1.266667,1830.6,64.89,57.88,452.69,59.96,1.027,95.16,6.77,0.18,11.0,14.21,30.7,59.3,982.83,850.0,13.82,57.68,0,26.92,1.23,757.1,11.67,9.25,56.56,0.42,96.44,361.27,0.4,27.2,5.85,44.67,0.0,0.9,31648.0,11.9,81.999,17.94,0.969,40.0,8.15
1.283333,1831.0,64.55,57.39,452.31,59.77,1.041,95.12,6.81,0.183,11.11,14.21,30.82,59.31,982.83,850.0,13.85,57.79,0,26.9,1.23,756.1,10.67,8.99,56.55,0.416,96.42,361.28,0.494,27.2,5.72,44.56,0.0,0.93,31448.0,11.78,81.999,18.04,0.977,40.0,8.15
